play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,duration_minutes,session_date
0,309,2024-12-11 12:26:22.670000-06:00,2024-12-11 17:01:22.670000-06:00,BROWSER,COMPLETED,1081,275.0,2024-12-11
1,179,2024-02-13 15:51:16.919000-06:00,2024-02-13 22:17:16.919000-06:00,MOBILE,ABORTED,4271,386.0,2024-02-13
2,314,2024-08-21 10:56:25.744000-06:00,2024-08-21 15:17:25.744000-06:00,BROWSER,TIMEOUT,2634,261.0,2024-08-21
3,492,2024-03-27 01:46:36.925000-06:00,2024-03-27 10:05:36.925000-06:00,MOBILE,ABORTED,3082,499.0,2024-03-27
4,369,2024-08-25 22:29:23.179000-06:00,2024-08-26 00:54:23.179000-06:00,MOBILE,TIMEOUT,3995,145.0,2024-08-25
5,59,2024-04-27 16:37:13.057000-06:00,2024-04-27 23:33:13.057000-06:00,MOBILE,TIMEOUT,3025,416.0,2024-04-27
6,408,2024-12-15 19:41:46.635000-06:00,2024-12-16 02:26:46.635000-06:00,BROWSER,TIMEOUT,1295,405.0,2024-12-15
7,358,2024-01-04 00:02:03.341000-06:00,2024-01-04 08:28:03.341000-06:00,MOBILE,ABORTED,154,506.0,2024-01-04
8,391,2024-06-10 01:46:47.635000-06:00,2024-06-10 06:05:47.635000-06:00,MOBILE,ABORTED,255,259.0,2024-06-10
9,360,2024-11-23 15:50:37.399000-06:00,2024-11-23 22:32:37.399000-06:00,MOBILE,TIMEOUT,2719,402.0,2024-11-23
10,326,2024-10-02 17:07:20.528000-06:00,2024-10-02 19:58:20.528000-06:00,BROWSER,COMPLETED,730,171.0,2024-10-02
11,431,2024-01-15 07:54:04.663000-06:00,2024-01-15 14:50:04.663000-06:00,MOBILE,TIMEOUT,4976,416.0,2024-01-15
12,55,2024-12-08 02:01:05.524000-06:00,2024-12-08 05:05:05.524000-06:00,BROWSER,TIMEOUT,3892,184.0,2024-12-08
13,62,2024-04-16 14:53:00.976000-06:00,2024-04-16 15:09:00.976000-06:00,MOBILE,TIMEOUT,3661,16.0,2024-04-16
14,331,2024-01-26 19:20:26.408000-06:00,2024-01-26 23:23:26.408000-06:00,MOBILE,COMPLETED,168,243.0,2024-01-26
15,201,2024-10-15 07:49:44.134000-06:00,2024-10-15 15:42:44.134000-06:00,MOBILE,TIMEOUT,3211,473.0,2024-10-15
16,181,2024-08-19 10:01:17.003000-06:00,2024-08-19 12:41:17.003000-06:00,MOBILE,TIMEOUT,1154,160.0,2024-08-19
17,205,2024-05-22 14:02:50.549000-06:00,2024-05-22 18:07:50.549000-06:00,BROWSER,TIMEOUT,3564,245.0,2024-05-22
18,395,2024-09-11 01:21:13.873000-06:00,2024-09-11 09:05:13.873000-06:00,MOBILE,TIMEOUT,1015,464.0,2024-09-11
19,101,2024-04-30 20:12:04.051000-06:00,2024-05-01 04:06:04.051000-06:00,BROWSER,COMPLETED,1856,474.0,2024-04-30
20,178,2024-01-12 11:49:43.814000-06:00,2024-01-12 19:45:43.814000-06:00,BROWSER,ABORTED,4977,476.0,2024-01-12
21,305,2024-03-03 10:31:28.212000-06:00,2024-03-03 15:44:28.212000-06:00,BROWSER,COMPLETED,2542,313.0,2024-03-03
22,261,2024-10-23 19:19:05.986000-06:00,2024-10-23 19:56:05.986000-06:00,MOBILE,TIMEOUT,4379,37.0,2024-10-23
23,100,2024-02-17 14:54:32.328000-06:00,2024-02-17 21:10:32.328000-06:00,BROWSER,TIMEOUT,3643,376.0,2024-02-17
24,173,2024-10-25 15:57:06.985000-06:00,2024-10-25 23:28:06.985000-06:00,MOBILE,ABORTED,761,451.0,2024-10-25
25,66,2024-09-24 19:13:34.052000-06:00,2024-09-24 21:16:34.052000-06:00,BROWSER,COMPLETED,4793,123.0,2024-09-24
26,252,2024-10-27 02:53:12.477000-06:00,2024-10-27 05:05:12.477000-06:00,BROWSER,TIMEOUT,1062,132.0,2024-10-27
27,251,2024-01-24 12:32:13.510000-06:00,2024-01-24 13:22:13.510000-06:00,MOBILE,COMPLETED,235,50.0,2024-01-24
28,105,2024-09-17 19:18:42.706000-06:00,2024-09-18 05:16:42.706000-06:00,MOBILE,ABORTED,4883,598.0,2024-09-17
29,339,2024-12-20 09:22:19.560000-06:00,2024-12-20 09:33:19.560000-06:00,MOBILE,COMPLETED,680,11.0,2024-12-20
30,306,2024-09-24 11:29:45.131000-06:00,2024-09-24 20:35:45.131000-06:00,BROWSER,COMPLETED,1825,546.0,2024-09-24
31,287,2024-03-04 13:45:54.829000-06:00,2024-03-04 22:00:54.829000-06:00,MOBILE,TIMEOUT,2127,495.0,2024-03-04
32,225,2024-06-18 09:19:02.225000-06:00,2024-06-18 15:36:02.225000-06:00,MOBILE,ABORTED,696,377.0,2024-06-18
33,366,2024-06-29 21:50:16.268000-06:00,2024-06-29 23:45:16.268000-06:00,BROWSER,TIMEOUT,3614,115.0,2024-06-29
34,391,2024-10-07 15:38:27.417000-06:00,2024-10-07 20:46:27.417000-06:00,MOBILE,TIMEOUT,2464,308.0,2024-10-07
